,Unnamed: 0,Title,Search,Location,Company,detail_url
2212,3681,Data Scientist,Data+analyst,"Philadelphia, PA",        EcoMetric,/rc/clk?jk=f4ea36fcac92e505&fccid=48473265b96a3179&vjs=3
2213,3682,Sr. Data Analyst,Data+analyst,"Philadelphia, PA",        Change Healthcare,/company/Green/jobs/Senior-Data-Analyst-c6b316b67c0c681e?fccid=5208f7b021a7e634&vjs=3
2214,3683,Space Planning Analyst,Data+analyst,"Philadelphia, PA 19106 (City Center East area)",        Five Below,/rc/clk?jk=8d88efbe478d09f3&fccid=c10303275e63194f&vjs=3
2215,3684,Application Support Analyst,Data+analyst,"Philadelphia, PA 19107 (City Center East area)",        Mental Health Partnerships,/company/Mental-Health-Partnerships/jobs/Application-Support-Analyst-7ab2a54b96c0b7b4?fccid=bfa33fbc71c6b57a&vjs=3
2216,3690,Clinical Informatics Analyst,Data+analyst,"Philadelphia, PA 19103 (Belmont area)",        NantHealth,/rc/clk?jk=269b88f3fe1f4e55&fccid=f4fdabd3e62122d4&vjs=3
2217,3691,Risk Adjustment Data Analyst,Data+analyst,"Philadelphia, PA 19107 (City Center East area)","        Health Partner Plans, Inc.",/rc/clk?jk=d51f1c0d708b1211&fccid=d301541921e3a6c4&vjs=3
2218,3692,Data Analyst (Machine Learning in Medical Imaging),Data+analyst,"Philadelphia, PA","        University of Pennsylvania, Department of Radiolog...",/company/University-of-Pennsylvania/jobs/Data-Analyst-34fce708845849a2?fccid=ebd944f3c244d667&vjs=3
2219,3693,Financial Analyst,Data+analyst,"Philadelphia, PA",        Rothman Orthopaedics,/company/Rothman-Orthopaedics/jobs/Financial-Analyst-edce3490f1c3fb55?fccid=f0bce1f63144efe0&vjs=3
2220,3694,Mortgage Portfolio Analyst,Data+analyst,"Philadelphia, PA 19154 (Torresdale area)",        Philadelphia Federal Credit Union,/company/Philadelphia-Federal-Credit-Union/jobs/Mortgage-Portfolio-Analyst-ee89d7dd44530a27?fccid=664c8d877438565e&vjs=3
2221,3695,Business Administrator - Data Analyst,Data+analyst,"Maple Shade, NJ 08052",        Stonhard,/company/Stonhard/jobs/Business-Administrator-a137b6e0080a0c72?fccid=a5b7a08bfbc762ca&vjs=3
2222,3696,Associate Business Analyst,Data+analyst,"Philadelphia, PA 19113",        Aramark,/rc/clk?jk=1461e3ca96cca252&fccid=ef670f88bdb8a879&vjs=3
2223,3697,Temporary CRM Data Analyst,Data+analyst,"Philadelphia, PA 19112 (Marconi Plaza-Packer Park area)",        NXT Sports,/company/NXT-Sports/jobs/Temporary-Crm-Data-Analyst-610dd830df71dfb1?fccid=f0ad024ee357c4a0&vjs=3
2224,3698,Data Solutions Analyst,Data+analyst,"Philadelphia, PA 19103 (Belmont area)",        Comcast,/rc/clk?jk=500055e31268bc93&fccid=ea25315ee9da22e5&vjs=3
2225,3699,GIS Analyst - Entry Level,Data+analyst,"Doylestown, PA","        Langan Engineering and Environmental Services, Inc...",/rc/clk?jk=81da59ff7fbc088d&fccid=b05b3d3479dad52b&vjs=3
2226,3705,Consumer Insights Analyst,Data+analyst,"Philadelphia, PA",        goPuff,/rc/clk?jk=9b52eba9f591dba9&fccid=8a2222c2ef6a251d&vjs=3
2227,3706,ECOMMERCE DATA ANALYST NEEDED,Data+analyst,"Blue Bell, PA 19422",        Peirce-Phelps,/rc/clk?jk=7326acdbb5153bb1&fccid=455240b5de6f458b&vjs=3
2228,3707,Replenishment Analyst,Data+analyst,"Philadelphia, PA",        goPuff,/rc/clk?jk=f235971ebee56edf&fccid=8a2222c2ef6a251d&vjs=3
2229,3708,Data Analyst,Data+analyst,"Plymouth Meeting, PA",        Progressive Global Energy,/company/Progressive-Recruitment/jobs/Data-Analyst-3bea363720da778d?fccid=fff2d2ed103acb8c&vjs=3
2230,3709,Building Analyst,Data+analyst,"Philadelphia, PA 19019 (Somerton area)",        Allied Energy Efficiency Experts,/rc/clk?jk=710ce16c3e364c32&fccid=140a3af885afbcd2&vjs=3
2231,3710,Junior Medical Data Analyst,Data+analyst,"Fort Washington, PA",        Acclara,/rc/clk?jk=01dca05a2114308d&fccid=b23a8c0f9685f6b1&vjs=3
